GEOID,Median_Housing_Price_2021
1400000US06037101110,549500
1400000US06037101122,707200
1400000US06037101220,582300
1400000US06037101221,482300
1400000US06037101222,421600
1400000US06037101300,680700
1400000US06037101400,589200
1400000US06037102103,775200
1400000US06037102104,618200
1400000US06037102105,553400
1400000US06037102107,710600
1400000US06037103101,645000
1400000US06037103102,538400
1400000US06037103201,569800
1400000US06037103202,738300
1400000US06037103300,825500
1400000US06037103401,629700
1400000US06037103402,626100
1400000US06037104103,556000
1400000US06037104105,399500
1400000US06037104108,448300
1400000US06037104124,531700
1400000US06037104201,491400
1400000US06037104203,446300
1400000US06037104204,421600
1400000US06037104310,480000
1400000US06037104321,488400
1400000US06037104322,507000
1400000US06037104401,464400
1400000US06037104403,526200
1400000US06037104404,508100
1400000US06037104500,477900
1400000US06037104610,452200
1400000US06037104620,478900
1400000US06037104701,477500
1400000US06037104703,505400
1400000US06037104704,259500
1400000US06037104821,446700
1400000US06037104822,519500
1400000US06037104823,462400
1400000US06037104824,532000
1400000US06037106010,583400
1400000US06037106020,560300
1400000US06037106111,549100
1400000US06037106112,567400
1400000US06037106113,536300
1400000US06037106114,427100
1400000US06037106403,516000
1400000US06037106405,431800
1400000US06037106406,413800
1400000US06037106407,333100
1400000US06037106408,410700
1400000US06037106510,586600
1400000US06037106520,495500
1400000US06037106603,834300
1400000US06037106604,586300
1400000US06037106641,800300
1400000US06037106642,704500
1400000US06037106643,937600
1400000US06037106645,809000
1400000US06037106646,630800
1400000US06037106648,483800
1400000US06037106649,615700
1400000US06037107010,495800
1400000US06037107020,441400
1400000US06037108101,804900
1400000US06037108102,802300
1400000US06037108103,918200
1400000US06037108104,861800
1400000US06037108202,969500
1400000US06037108203,753000
1400000US06037108204,774200
1400000US06037109100,478500
1400000US06037109200,642200
1400000US06037109300,618000
1400000US06037109400,463600
1400000US06037109500,587600
1400000US06037109601,614200
1400000US06037109603,596800
1400000US06037109604,555000
1400000US06037109700,607500
1400000US06037109800,626900
1400000US06037111100,624200
1400000US06037111201,696800
1400000US06037111202,649500
1400000US06037111204,897500
1400000US06037111205,568700
1400000US06037111206,786400
1400000US06037111302,661100
1400000US06037111303,654300
1400000US06037111304,NA
1400000US06037111401,635500
1400000US06037111402,631700
1400000US06037113101,721200
1400000US06037113102,997400
1400000US06037113211,613300
1400000US06037113212,628500
1400000US06037113213,621000
1400000US06037113231,819800
1400000US06037113232,761800
1400000US06037113234,NA
1400000US06037113235,574700
1400000US06037113237,763600
1400000US06037113238,418800
1400000US06037113239,NA
1400000US06037113301,890000
1400000US06037113303,626100
1400000US06037113322,721800
1400000US06037113323,529000
1400000US06037113324,361700
1400000US06037113423,615200
1400000US06037113424,622900
1400000US06037113425,411100
1400000US06037113426,631300
1400000US06037113427,412500
1400000US06037113428,572600
1400000US06037115101,904600
1400000US06037115103,NA
1400000US06037115104,486000
1400000US06037115202,622600
1400000US06037115203,920400
1400000US06037115204,664800
1400000US06037115301,692300
1400000US06037115302,622700
1400000US06037115401,738500
1400000US06037115403,634400
1400000US06037115404,612800
1400000US06037117101,500600
1400000US06037117102,577700
1400000US06037117201,565300
1400000US06037117202,610600
1400000US06037117301,630300
1400000US06037117302,634800
1400000US06037117303,651000
1400000US06037117404,655300
1400000US06037117405,278500
1400000US06037117407,NA
1400000US06037117408,477300
1400000US06037117510,354600
1400000US06037117520,431200
1400000US06037117530,419700
1400000US06037119001,545700
1400000US06037119003,485300
1400000US06037119004,563400
1400000US06037119201,550100
1400000US06037119202,499800
1400000US06037119310,386700
1400000US06037119320,436700
1400000US06037119340,NA
1400000US06037119341,408900
1400000US06037119342,338700
1400000US06037119400,555200
1400000US06037119700,604200
1400000US06037119801,543200
1400000US06037119802,539900
1400000US06037119900,500500
1400000US06037120010,493800
1400000US06037120020,531700
1400000US06037120030,588000
1400000US06037120103,450000
1400000US06037120104,463700
1400000US06037120105,464600
1400000US06037120106,NA
1400000US06037120107,425000
1400000US06037120108,346900
1400000US06037120300,573800
1400000US06037120400,566000
1400000US06037121010,604900
1400000US06037121020,611100
1400000US06037121101,471900
1400000US06037121102,570800
1400000US06037121210,558500
1400000US06037121221,538800
1400000US06037121222,596600
1400000US06037121600,619200
1400000US06037121801,575500
1400000US06037121802,605000
1400000US06037121900,605400
1400000US06037122000,612600
1400000US06037122120,598100
1400000US06037122121,528900
1400000US06037122122,397900
1400000US06037122200,566900
1400000US06037122410,519200
1400000US06037122420,638200
1400000US06037123010,577800
1400000US06037123020,514400
1400000US06037123103,588300
1400000US06037123104,679300
1400000US06037123203,603300
1400000US06037123204,706300
1400000US06037123205,718800
1400000US06037123206,532300
1400000US06037123301,531300
1400000US06037123303,634400
1400000US06037123304,648900
1400000US06037123410,602300
1400000US06037123420,623300
1400000US06037123510,780000
1400000US06037123520,678100
1400000US06037123601,646300
1400000US06037123602,846000
1400000US06037123700,641800
1400000US06037123800,844500
1400000US06037123901,741100
1400000US06037123902,825500
1400000US06037124000,1037300
1400000US06037124102,789400
1400000US06037124103,678300
1400000US06037124104,746200
1400000US06037124105,605100
1400000US06037124201,643800
1400000US06037124203,676900
1400000US06037124204,433900
1400000US06037124300,729200
1400000US06037124400,940500
1400000US06037124500,865700
1400000US06037124600,930500
1400000US06037124700,999400
1400000US06037124902,813000
1400000US06037124903,566800
1400000US06037125101,536600
1400000US06037125102,1394200
1400000US06037125200,896200
1400000US06037125310,831100
1400000US06037125321,461600
1400000US06037125322,NA
1400000US06037125402,728800
1400000US06037125403,356700
1400000US06037125404,NA
1400000US06037125501,710700
1400000US06037125502,701100
1400000US06037125600,1250000
1400000US06037127102,454300
1400000US06037127103,340400
1400000US06037127104,595000
1400000US06037127210,536300
1400000US06037127220,540500
1400000US06037127300,605900
1400000US06037127400,529800
1400000US06037127520,256700
1400000US06037127603,613600
1400000US06037127604,529700
1400000US06037127605,612400
1400000US06037127606,593500
1400000US06037127711,708900
1400000US06037127712,640900
1400000US06037127803,605100
1400000US06037127804,499000
1400000US06037127805,690300
1400000US06037127806,572700
1400000US06037127910,598900
1400000US06037127920,625600
1400000US06037128101,696000
1400000US06037128102,596900
1400000US06037128210,450000
1400000US06037128220,665100
1400000US06037128302,566700
1400000US06037128303,372200
1400000US06037128400,781900
1400000US06037128500,698000
1400000US06037128601,771300
1400000US06037128602,929700
1400000US06037128703,611700
1400000US06037128704,917400
1400000US06037128801,655200
1400000US06037128802,836900
1400000US06037128910,952000
1400000US06037131021,625000
1400000US06037131022,616000
1400000US06037131023,542700
1400000US06037131024,579600
1400000US06037131100,626600
1400000US06037131200,612900
1400000US06037131300,597600
1400000US06037131400,535500
1400000US06037131600,565000
1400000US06037131701,539300
1400000US06037131702,597700
1400000US06037131801,532900
1400000US06037131802,591000
1400000US06037131900,623400
1400000US06037132001,605700
1400000US06037132002,632700
1400000US06037132101,627900
1400000US06037132102,551900
1400000US06037132301,357600
1400000US06037132302,600700
1400000US06037132501,594600
1400000US06037132502,435000
1400000US06037132700,618000
1400000US06037132900,677500
1400000US06037133000,548300
1400000US06037133101,657100
1400000US06037133102,671200
1400000US06037134001,476400
1400000US06037134002,575200
1400000US06037134101,633700
1400000US06037134103,604500
1400000US06037134104,598300
1400000US06037134201,620500
1400000US06037134302,647700
1400000US06037134303,573700
1400000US06037134304,604400
1400000US06037134305,NA
1400000US06037134306,527100
1400000US06037134421,860800
1400000US06037134422,772400
1400000US06037134423,796200
1400000US06037134424,966200
1400000US06037134520,387800
1400000US06037134521,533700
1400000US06037134522,434300
1400000US06037134710,598500
1400000US06037134720,549900
1400000US06037134801,572300
1400000US06037134802,533700
1400000US06037134901,672600
1400000US06037134904,613500
1400000US06037134905,594100
1400000US06037134906,NA
1400000US06037134907,NA
1400000US06037135102,676600
1400000US06037135111,660100
1400000US06037135113,339900
1400000US06037135115,580600
1400000US06037135116,586500
1400000US06037135201,719900
1400000US06037135202,657500
1400000US06037135204,658000
1400000US06037135205,880800
1400000US06037137000,927400
1400000US06037137103,468900
1400000US06037137104,761100
1400000US06037137202,817800
1400000US06037137203,824000
1400000US06037137301,966900
1400000US06037137302,970000
1400000US06037137401,867400
1400000US06037137402,977500
1400000US06037137501,1270300
1400000US06037137502,863800
1400000US06037137504,1467400
1400000US06037138000,901000
1400000US06037139001,770400
1400000US06037139200,671500
1400000US06037139301,910600
1400000US06037139302,313900
1400000US06037139303,418900
1400000US06037139401,853000
1400000US06037139402,1511500
1400000US06037139502,904900
1400000US06037139504,562500
1400000US06037139505,378800
1400000US06037139506,439400
1400000US06037139600,1261900
1400000US06037139701,1359600
1400000US06037139703,1725900
1400000US06037139704,1495300
1400000US06037139705,1738200
1400000US06037139801,1287800
1400000US06037139802,1254100
1400000US06037141101,707700
1400000US06037141102,1085300
1400000US06037141201,915200
1400000US06037141202,919500
1400000US06037141303,551100
1400000US06037141304,1132600
1400000US06037141305,910900
1400000US06037141306,973700
1400000US06037141400,1229500
1400000US06037141500,2000001
1400000US06037141600,1395600
1400000US06037141700,1580000
1400000US06037143101,1073800
1400000US06037143102,765100
1400000US06037143200,854100
1400000US06037143301,686600
1400000US06037143302,1210800
1400000US06037143401,939000
1400000US06037143402,973400
1400000US06037143500,1218400
1400000US06037143602,899100
1400000US06037143603,767900
1400000US06037143605,735000
1400000US06037143606,676500
1400000US06037143700,1537500
1400000US06037143801,1521400
1400000US06037143802,1641800
1400000US06037143901,1800000
1400000US06037143902,1475000
1400000US06037181000,976700
1400000US06037181300,897000
1400000US06037181400,812900
1400000US06037181500,858800
1400000US06037181600,944400
1400000US06037183101,710000
1400000US06037183103,720800
1400000US06037183104,791400
1400000US06037183220,663200
1400000US06037183221,840100
1400000US06037183222,829400
1400000US06037183300,745300
1400000US06037183401,768400
