GEOID,Median_0,Median_1,Median_2,Median_3,Median_4,Median_5,Median_6,Median_7,Median_8
1400000US06037101110,559.3703911,108.7267328,233.9756275,247.5730578,,,,164.2924127,359.4036926
1400000US06037101122,350.0365327,761.8729097,,,,122.816949,,,343.647401
1400000US06037101220,532.4888786,656.9581624,634.574277,848.1676367,,,825.828146,817.6631616,570.4414394
1400000US06037101221,340.5371988,303.8393619,349.5202623,252.324578,,,84.15548352,235.668098,
1400000US06037101222,199.8861277,283.6096675,321.8694335,304.2018273,,,137.7144635,257.6516185,225.1612104
1400000US06037101300,364.3202224,478.7981557,415.531943,398.9989065,,,,321.7555894,310.8815216
1400000US06037101400,308.9222046,551.6024347,368.3830858,274.169551,534.8870537,224.9571057,707.5986484,291.0032153,221.1102242
1400000US06037102103,553.3469073,906.2397014,,,,,,,378.3924858
1400000US06037102104,170.0267492,563.4437335,,,,,,449.9423805,303.0978398
1400000US06037102105,468.923524,699.5930141,356.4673555,571.6114268,,,,,656.6906473
1400000US06037102107,344.2788792,870.0115394,874.523883,1083.134452,,149.1015455,236.3756719,818.2383524,70.94549244
1400000US06037103101,407.989758,,,,,76.97447672,,189.7108774,559.4967365
1400000US06037103102,685.414817,571.1221144,592.1945655,525.7513066,,,,555.6289084,681.5866334
1400000US06037103201,233.3786144,238.7080198,259.8874389,50.15652087,,236.3748866,287.5054068,40.35935888,348.0902962
1400000US06037103202,300.316258,142.3015403,152.3971206,,,,289.3431737,187.1526152,323.2243645
1400000US06037103300,469.8335373,336.9225349,651.1250512,39.09369202,685.7759626,,55.81238016,305.457818,423.2853222
1400000US06037103401,270.2393403,199.0058021,279.2623464,169.3851648,,123.8683728,,,273.8607761
1400000US06037103402,544.554342,389.2772491,490.9800301,845.6481388,,,,457.9809872,587.688117
1400000US06037104103,777.0146025,,,,,,,895.4115323,626.6137551
1400000US06037104105,518.1917918,372.8798902,419.9684977,526.3755378,,,,432.4828247,526.6437611
1400000US06037104108,199.2365569,225.7908788,185.3972692,,,,,298.9809825,322.4114641
1400000US06037104124,268.3615218,292.923897,436.8585899,,,,470.2293888,227.4316391,133.1535578
1400000US06037104201,839.0486267,894.7398119,925.6837221,578.3113529,,,962.7333123,840.5003415,
1400000US06037104203,374.1704108,629.1500205,694.4309245,530.3393892,,,707.0375651,658.9472019,
1400000US06037104204,598.7160427,260.9977434,,247.2187413,,,,156.6475072,568.5099802
1400000US06037104310,593.9867013,529.4019167,539.6164136,409.8262038,,,,859.4188529,1057.053021
1400000US06037104321,579.8684246,485.9100463,535.6629353,390.9193388,,,,517.6697218,590.9468501
1400000US06037104322,861.1063341,997.4014147,909.4016026,975.299803,,,,892.2481006,967.0885119
1400000US06037104401,388.4749722,810.951794,844.343226,829.0591023,,,,,337.0338003
1400000US06037104403,847.6787004,837.5932567,855.8712384,929.8387191,,,,751.1362516,76.21997851
1400000US06037104404,722.5638129,856.6412174,872.2928867,901.4957261,,,,835.2803212,868.1014297
1400000US06037104500,781.2756369,929.027896,927.4881609,,,,,1085.108322,354.9518979
1400000US06037104610,784.2504899,786.4511247,772.9288648,805.7866481,,,,,712.3181223
1400000US06037104620,661.0585911,951.548505,1000.344847,,,,,,
1400000US06037104701,340.5550155,439.5801112,432.7634059,668.2975581,,,,103.0154711,401.1214473
1400000US06037104703,307.2822298,554.5713606,665.936983,518.4388549,,,,436.2104733,291.9528596
1400000US06037104704,156.1817531,158.137426,379.2689512,310.5123948,,,,,286.4162327
1400000US06037104821,676.880141,629.1184805,600.0145031,,,,,361.3707046,961.4544771
1400000US06037104822,954.2016469,692.8454503,721.4734038,,,,1076.239002,1098.42335,750.116793
1400000US06037104823,618.0474613,1216.661671,,1234.275228,,,,1102.790248,1208.152811
1400000US06037104824,690.5437029,653.7729976,666.6277911,1123.676609,,,,,683.6856651
1400000US06037106010,229.8568292,,129.778225,,,,,481.7784739,484.3568536
1400000US06037106020,516.7041947,,833.0256495,,,,,570.9555226,876.97213
1400000US06037106111,299.8016603,,,,,,,,105.3067111
1400000US06037106112,305.2955498,549.0905336,485.4505199,648.9319574,,618.1633425,,106.4746343,362.7739465
1400000US06037106113,636.0914186,956.3431785,577.3652024,,,,,761.7292811,706.2689631
1400000US06037106114,801.609404,619.9474672,322.4052467,77.13079691,,,672.4696256,666.8855377,937.6876029
1400000US06037106403,525.6852501,699.9267685,690.0878088,,,,64.52538104,163.6563182,467.3534956
1400000US06037106405,724.4369943,758.4588536,508.4118783,853.9803495,,,869.2682126,827.6136271,540.2793615
1400000US06037106406,638.6289926,333.1676756,81.82576479,,,,,605.0860012,343.5028714
1400000US06037106407,626.3259225,808.1076596,873.9775425,,,,,531.5658426,
1400000US06037106408,560.3956029,800.3143332,779.5209718,,,,,,509.2860909
1400000US06037106510,571.8080728,847.7728524,862.5904773,881.5419579,,,514.7071709,,482.6892608
1400000US06037106520,876.0772085,861.4995489,809.0310111,859.9904281,,,,1003.759684,552.5493532
1400000US06037106603,221.9799226,843.3357575,,1011.178154,,602.5218765,166.4589648,,581.1206638
1400000US06037106604,267.7643122,452.5705296,487.4243559,651.0752399,,,,46.15880309,273.6401828
1400000US06037106641,514.4416693,,,,,,,868.063962,
1400000US06037106642,616.8967871,,525.2281575,,,,,141.110831,284.8534147
1400000US06037106643,632.7160944,,,,,,,633.9605578,700.8600485
1400000US06037106645,156.1056612,,,,,,53.09841862,,100.2060304
1400000US06037106646,396.2216234,122.6751858,168.8887194,,,,422.9141783,270.3846214,573.7209715
1400000US06037106648,279.3852134,366.1920948,384.7147986,345.8770763,,,254.8541809,,261.8498474
1400000US06037106649,216.4856261,612.8403851,672.5383508,,,,,,626.4163455
1400000US06037107010,504.5817745,476.4652059,539.7606843,,,,,477.7394327,522.9964925
1400000US06037107020,394.6879471,477.5163267,130.1826494,132.9183001,,,,199.5385329,363.3833821
1400000US06037108101,236.3870146,548.4975787,,,,,,,563.0357908
1400000US06037108102,342.189085,154.7001834,181.7381515,,,,367.4402764,,129.8679829
1400000US06037108103,152.7918104,,,,,,,,14.85370718
1400000US06037108104,135.954485,266.3593911,,,,,,,217.6569196
1400000US06037108202,482.3899182,226.8980561,,,,,,,335.1992571
1400000US06037108203,259.1100318,,,,,,,,286.4005141
