GEOID,Median_0100,Median_0101,Median_010C,Median_0200,Median_0300,Median_0400,Median_0500,Median_010E,Median_010D
1400000US06037101110,570.5430615,628.6426245,159.496626,405.1179769,398.2569042,277.9580816,511.9866905,,
1400000US06037101122,383.6513124,219.3730348,,559.2937761,562.1454442,,421.0543491,,
1400000US06037101220,558.8591191,513.5534467,480.5184356,469.581703,472.421677,440.2756405,431.1619555,,
1400000US06037101221,383.3343207,408.802945,317.1136444,366.8389278,407.9390861,341.4261247,285.751874,125.2848377,
1400000US06037101222,267.0276626,,160.1982565,279.884119,259.8533093,290.9460397,199.8861277,76.09192284,177.0246577
1400000US06037101300,479.9756898,458.4111444,364.3202224,511.7970512,435.3747227,,,,
1400000US06037101400,320.9836533,178.558385,583.0497345,503.0609312,381.8878472,388.6028138,365.2337249,,
1400000US06037102103,542.8157129,487.0642556,1106.291031,,,,1122.608185,,
1400000US06037102104,254.1393081,223.7741684,94.86928288,,,,,,
1400000US06037102105,464.1691771,561.4285185,,65.2861403,609.236281,567.4013574,580.262517,,
1400000US06037102107,334.4750169,339.9035814,769.7896057,371.4495953,373.3377522,,512.6155448,,
1400000US06037103101,433.6966367,431.3767963,343.6174994,461.7525113,,,,,
1400000US06037103102,689.1583764,734.3164265,476.6001803,707.0466926,177.3592941,859.867614,817.6176913,,
1400000US06037103201,236.9260873,250.2472811,,122.1076317,124.914542,75.88051539,89.22634998,,
1400000US06037103202,293.9007793,339.4125771,,265.8286122,273.622428,,,,
1400000US06037103300,393.9629717,558.2820119,,422.99935,213.5214837,172.2797785,263.3109759,,271.1347269
1400000US06037103401,333.6338475,350.0085609,200.7750813,354.7929652,401.810488,390.3086522,77.00053957,,
1400000US06037103402,543.7548477,597.9182183,787.9592701,528.4070392,192.1582324,653.0917872,619.2403382,,
1400000US06037104103,769.2496296,740.782336,,,,,,,1148.429013
1400000US06037104105,530.4579871,527.5207839,518.1917918,570.4451208,,,546.888603,,522.3165413
1400000US06037104108,260.5309785,249.7547364,405.5007895,180.0153263,44.62967588,,126.7613844,47.49556843,
1400000US06037104124,270.6995804,363.975582,139.074119,320.588662,236.7764227,,,,
1400000US06037104201,831.4742874,854.2139712,,972.6442828,,,1170.758206,,
1400000US06037104203,396.1497677,336.3269746,735.6459307,561.3538266,531.6543263,,458.6990289,323.292073,
1400000US06037104204,548.9709862,657.1330332,,,,,111.7597399,,945.5269924
1400000US06037104310,586.28653,466.666164,,851.6990833,943.9982845,,,,
1400000US06037104321,574.3749257,558.2247928,,624.2976386,766.5913995,700.2502142,729.0602238,,
1400000US06037104322,851.0808949,904.7596355,,781.1840156,,959.9950772,995.5191209,,
1400000US06037104401,396.883589,347.3251837,,374.9201349,434.3951258,,531.5855677,,
1400000US06037104403,867.0460509,1048.78082,,375.5941365,1051.441996,,893.5347281,,
1400000US06037104404,714.9568354,712.6930906,,614.3788802,808.3460579,917.5576807,865.2678315,,
1400000US06037104500,785.2684169,711.5210077,,1015.89271,465.6580819,1052.462024,722.8767191,,
1400000US06037104610,807.9533182,678.291184,,764.9351745,679.3103771,769.7256627,879.5295203,,
1400000US06037104620,652.1578426,487.5897813,,956.9715861,1005.808779,,,,
1400000US06037104701,322.3772623,180.5592864,,406.0455018,587.9858489,618.9029753,598.0455964,,
1400000US06037104703,409.8587844,,,433.2265167,595.2018266,,223.6751477,101.4290089,
1400000US06037104704,326.3925055,416.8635502,99.40902307,201.3480995,,,226.5206745,162.8399043,
1400000US06037104821,705.7925658,768.7324729,,588.6764439,544.9173721,530.7627564,582.3846939,,
1400000US06037104822,870.0747917,945.067731,,588.6537479,,,926.9359053,,1110.757915
1400000US06037104823,428.5664354,757.3935106,,618.0474613,941.2313387,,,,
