GEOID,MedianSqFtVal_0100_Land,MedianSqFtVal_0101_Land,MedianSqFtVal_010C_Land,MedianSqFtVal_0200_Land,MedianSqFtVal_0300_Land,MedianSqFtVal_0400_Land,MedianSqFtVal_0500_Land,MedianSqFtVal_010E_Land,MedianSqFtVal_010D_Land
1400000US06037101110,217.9177707,171.8413115,187.1016381,145.7176298,121.0131508,150.2674951,28.48148421,,
1400000US06037101122,173.6910345,141.7758307,,143.2419886,121.7380546,,182.8776333,,
1400000US06037101220,197.4303586,118.4310139,131.8085752,172.0647773,126.0578184,88.75060273,74.75588235,,
1400000US06037101221,214.5142376,414.1255321,173.4080694,138.9109997,116.4758824,121.0490057,79.31810533,80.7989418,
1400000US06037101222,206.0005645,,127.4435387,142.9067273,138.136528,192.7724303,58.76080686,238.9034091,182.976101
1400000US06037101300,187.0573607,170.2485207,223.3122195,107.7576177,55.29608524,,,,
1400000US06037101400,190.2896552,146.4837163,219.0475936,140.9501133,128.5834327,80.90950636,33.91142527,,
1400000US06037102103,190.2991991,191.6803512,105.2452991,,,,37.84817986,,
1400000US06037102104,161.6164325,168.4167772,203.921875,,,,,,
1400000US06037102105,139.4495342,131.5893119,,102.3449519,204.7275676,74.43346817,44.88613462,,
1400000US06037102107,187.0691504,159.7120733,162.2382134,143.4034593,68.95461733,,30.56571481,,
1400000US06037103101,188.0019533,163.8228433,123.2288809,262.2218101,,,,,
1400000US06037103102,207.4503712,169.0452683,162.6711013,111.3727796,227.3537449,274.7845477,48.62854385,,
1400000US06037103201,187.9161751,171.8380623,,217.7777778,67.77882337,44.11651305,27.47332947,,
1400000US06037103202,145.581907,160.0081716,,144.054717,130.5858349,,,,
1400000US06037103300,183.5317568,171.31433,,162.2869814,112.3119835,195.8865624,323.7104998,,123.5677629
1400000US06037103401,197.0885947,161.841877,158.3165244,252.0237037,88.33326683,161.7207843,168.6653206,,
1400000US06037103402,197.7510917,120.5390841,211.0309114,88.46370684,123.9619013,174.962963,49.62810347,,
1400000US06037104103,118.5172559,104.7035161,,,,,,,106.0598291
1400000US06037104105,82.53111588,176.2383854,67.06096362,83.75744265,,,148.808507,,80.90984127
1400000US06037104108,115.391231,136.5927462,44.50997254,42.99001833,30.3543112,,25.8375772,129.3170732,
1400000US06037104124,139.9837933,142.24875,125.8035965,86.53000338,61.57689449,,,,
1400000US06037104201,107.8126278,132.581129,,104.6423475,,,104.7913341,,
1400000US06037104203,120.0254065,160.0582339,95.09768638,147.8535735,85.24110349,,49.80495479,130.3781038,
1400000US06037104204,120.5498836,144.7190879,,,,,190.7482409,,105.6330353
1400000US06037104310,120.1293483,95.65170068,,79.3222489,36.94387755,,,,
1400000US06037104321,124.2870879,6.221445893,,112.1758691,34.17212302,55.94305617,90.71021175,,
1400000US06037104322,133.1938324,104.8439901,,50.33399212,,41.23053279,81.6363245,,
1400000US06037104401,96.95359695,127.8011788,,107.3296985,85.0295858,,196.2829523,,
1400000US06037104403,97.17935769,54.88215923,,78.33960995,141.5223005,,75.25665181,,
1400000US06037104404,98.60596546,88.5243553,,90.23450266,62.92510372,99.50192604,150.1645482,,
1400000US06037104500,105.3136228,68.01976936,,55.55088496,137.9966456,73.75043152,22.36214286,,
1400000US06037104610,113.0403438,66.48181276,,112.4444444,71.44021164,93.79126417,30.82194532,,
1400000US06037104620,106.4166179,111.3106796,,127.7814978,35.49605003,,,,
1400000US06037104701,141.780137,74.99519808,,81.5403835,105.3997916,37.84009874,22.48949074,,
1400000US06037104703,152.3406863,,,92.17301587,96.72478635,,51.80348389,inf,
1400000US06037104704,107.6019737,98.80450407,66.04519231,inf,,,30.80145186,131.8921971,
1400000US06037104821,115.7080851,80.32550443,,103.0775281,42.83426378,25.9317472,44.65898897,,
1400000US06037104822,101.4164395,57.9470143,,163.1441176,,,17.27918314,,138.6088626
1400000US06037104823,106.5720845,104.0316377,,72.32794909,142.9032587,,,,
1400000US06037104824,98.55057967,97.29002002,,70.19314133,147.9224076,,,,
1400000US06037106010,92.3438961,91.95205479,67.04226475,74.97534879,83.97808651,,,,
1400000US06037106020,117.3138205,106.5151059,,76.44870041,152.5377644,,,,
1400000US06037106111,118.5406608,114.1132783,,,,,,,116.3644068
1400000US06037106112,137.809978,124.0220571,77.92408985,119.7189573,178.5674131,,,,
1400000US06037106113,115.8940345,118.0121875,88.546825,115.4446586,,,,,95.336234
1400000US06037106114,124.1070886,105.1927798,86.60720131,115.2515513,88.81823238,149.6465909,95.40883792,,
1400000US06037106403,125.0976846,103.6345901,,152.3073468,,,,,
1400000US06037106405,134.8159559,131.7963301,80.66147309,124.953373,238.1704649,80.25592638,83.26314009,96.04319853,170.7851076
1400000US06037106406,112.0390964,121.9625136,85.14268114,109.080141,174.2032258,,32.60461865,,146.0784314
1400000US06037106407,,,62.97071742,,,,35.30620544,79.04123565,
1400000US06037106408,123.4521912,,71.50283197,91.77629911,,8.707776636,33.20600695,,105.1946332
1400000US06037106510,108.3989185,99.32271293,,178.5281532,197.9842193,,,,203.0685757
1400000US06037106520,115.7682934,118.6705998,93.16666667,75.80958957,129.2884839,214.2689125,,,101.5633588
1400000US06037106603,141.8855037,127.4501129,,16.76128159,,,,,
1400000US06037106604,104.82092,77.6134715,,77.05416051,119.3041958,,14.28835076,,111.1914317
1400000US06037106641,127.9423029,134.5297,,22.07631231,,,,,
1400000US06037106642,163.7396134,146.2830058,,,,,,,
1400000US06037106643,123.7587558,131.3365134,,112.2329994,,54.47169221,,,
1400000US06037106645,145.892286,152.1279863,,,,,,,
1400000US06037106646,160.5272913,178.8519994,,167.1488846,,,,,
1400000US06037106648,106.0797048,109.1495754,,80.1674862,73.60905009,,43.29725088,,
1400000US06037106649,102.8513623,82.03547401,,120.1718989,47.14695047,,,,
1400000US06037107010,119.8940084,147.0430445,,79.69885057,145.813161,15.40641509,,,
1400000US06037107020,124.9679821,130.2196181,84.48600311,97.37553719,141.1813031,96.88632619,67.07000806,,89.4872279
1400000US06037108101,182.1111111,164.9979005,,,,,,,
1400000US06037108102,146.3925158,150.3576113,111.5720497,,,,,,99.94567277
1400000US06037108103,147.5172316,140.5201975,,,,,,,109.7175629
1400000US06037108104,145.2216749,169.5752733,,,,,,,
1400000US06037108202,207.277929,123.7659817,158.1002994,,,,1.65981812,,159.6160961
1400000US06037108203,100.2805045,151.4836396,,,,,,,174.8989526
1400000US06037108204,142.3584575,116.3432891,,,,,,,150.9688825
1400000US06037109100,131.5508298,119.8268165,,3036.002662,,,,,
1400000US06037109200,153.6753821,160.3890052,116.6143233,106.7166494,,109.3406949,,,
1400000US06037109300,151.424392,153.4220601,83.18570923,,,,,,
1400000US06037109400,115.7961642,130.5851305,73.883821,79.24179603,43.18698061,50.6772229,160.3171147,,97.6202346
1400000US06037109500,93.60536612,75.76107595,54.39526718,58.96124031,61.11750103,15.09340659,180.416185,,
1400000US06037109601,116.6706021,133.3146922,,166.711976,38.73308152,,,,
1400000US06037109603,124.908295,119.495345,115.6918189,78.83337153,,,77.4281098,,
1400000US06037109604,115.577147,137.4802904,82.58758109,122.5708738,70.31495438,,45.95821401,,
1400000US06037109700,161.6664233,131.5810627,110.6594632,158.3777856,,,,125.1750988,
1400000US06037109800,156.9747403,158.6418787,113.2750425,184.8802345,221.0801587,,9.032691093,,
1400000US06037111100,162.3451327,156.5102273,,,,,,,
1400000US06037111201,153.4968765,153.2104693,73.48684119,,,,,,
1400000US06037111202,166.0017585,163.5976771,115.1631812,120.0343369,47.87061767,66.86353211,42.04832485,106.5339643,
1400000US06037111204,126.9175095,138.5326123,,,,,,,inf
1400000US06037111205,140.8024429,160.5052202,108.825503,79.39975845,87.01825554,,,99.09457501,
