GEOID,MedinaSqFtVal_0100_Total,MedinaSqFtVal_0101_Total,MedinaSqFtVal_010C_Total,MedinaSqFtVal_0200_Total,MedinaSqFtVal_0300_Total,MedinaSqFtVal_0400_Total,MedinaSqFtVal_0500_Total,MedinaSqFtVal_010E_Total,MedinaSqFtVal_010D_Total
1400000US06037101110,321.38251525775877,296.43544418544417,351.21877655055226,233.31903276131044,195.56693442622952,252.01282051282053,90.65543208693049,,
1400000US06037101122,293.3506160164271,264.28373902562964,,220.5778275588682,165.2717576791809,,365.75526669654863,,
1400000US06037101220,296.38576779026215,263.98264995511164,264.32367060890374,251.27984234234233,215.53185396127384,148.41441200107153,153.84209959042897,,
1400000US06037101221,315.1688625427773,543.2692148666495,299.87621680827164,240.51832928630108,187.91244939271255,191.965625,166.39689478814523,274.55927051671733,
1400000US06037101222,259.4432363695155,,274.73300587904725,221.7261571,229.52550118593246,306.6294816061902,137.4573539550912,412.10795454545456,305.53678839957036
1400000US06037101300,318.59446821364554,306.3669724770642,363.1322695035461,197.6994459833795,126.10684252456404,,,,
1400000US06037101400,288.83737294761534,277.9898974130241,359.3267379679144,252.6079598180049,214.02860548271752,142.25932472836143,127.71046289834744,,
1400000US06037102103,294.7669351018475,318.2074795097461,262.06410256410254,,,,168.91259993337775,,
1400000US06037102104,276.12008210742385,299.0434267988853,332.6003605769231,,,,,,
1400000US06037102105,247.46556473829202,254.95683930942894,,192.98459134615385,307.0908108108108,138.4857180002631,142.06058726220016,,
1400000US06037102107,301.56403450564034,294.03298471440064,313.5718418514947,206.96998514096725,106.2796249426317,,51.94650828195178,,
1400000US06037103101,307.2280185745468,273.6118841719078,295.8537350910232,415.1824925816024,,,,,
1400000US06037103102,309.73751606550326,262.7717470760234,288.56467110125647,226.50103199174407,379.2844129554656,384.51570351758795,147.41887873456741,,
1400000US06037103201,294.9105423225529,309.55128205128204,,353.7498552403011,186.53179609213723,129.53072185948545,148.5228344768439,,
1400000US06037103202,254.3988568975966,296.6974683544304,,169.3708644271967,221.9939024390244,,,,
1400000US06037103300,295.08451369216243,308.4949739542133,,231.8715881793167,153.6275826446281,270.86581242650664,431.61388795706137,,218.0899891579328
1400000US06037103401,316.2961452928095,292.2610978401881,297.48552472858864,398.8739054290718,234.6920152091255,259.2483888292159,327.6950580307001,,
1400000US06037103402,305.58617283950616,258.02614704366204,325.56405353728485,190.54775828460038,203.79136429608127,266.54914196567864,144.6561116576488,,
1400000US06037104103,213.70444367928047,202.43693034931223,,,,,,,246.46947496947496
1400000US06037104105,162.2419098143236,289.13175932977913,197.92419522326065,172.44948755490483,,,283.9857538543003,,226.11873015873016
1400000US06037104108,202.4681159,230.1314626322835,151.29895287958115,151.39716760925342,135.02477700693757,,123.94430187792204,239.5219512195122,
1400000US06037104124,264.3492521459598,257.219375,283.48727272727274,180.54961616161617,113.09384158656401,,,,
1400000US06037104201,194.24243173192633,227.20849051611668,,222.82629744315037,,,262.3251615355378,,
1400000US06037104203,208.54846153846154,255.58138424821001,256.91431019708654,258.47368339797515,153.45320398849626,,139.6377740597493,283.2821670428894,
1400000US06037104204,236.32318240845677,250.6841172345812,,,,,272.59479502277526,,258.9995742869306
1400000US06037104310,211.0032629964693,185.3668918918919,,141.24236727550863,152.47930839002268,,,,
1400000US06037104321,215.75047984644914,39.375848468153265,,236.58725761772854,112.02114803625378,154.51962973333235,152.5578893442623,,
1400000US06037104322,228.21021562219659,199.16737764550265,,109.46346868476968,,127.4040300546448,162.29903107852107,,
1400000US06037104401,192.28333333333336,213.9767386719847,,211.08178319435535,184.22011834319525,,327.3992280465656,,
1400000US06037104403,198.3722751743838,146.10830323664447,,166.86687631027254,267.31983568075117,,147.99936964729272,,
1400000US06037104404,194.40474020054694,193,,194.72369987373537,140.9147300701373,134.94453004622497,255.23104037598804,,
1400000US06037104500,208.392,211.95486111111111,,146.39444076770351,221.39681636576248,132.05576142924014,48.09077001529832,,
1400000US06037104610,216.4570980631403,146.22659511031605,,193.78019323671498,148.12466931216932,190.18983620327595,67.58758869128921,,
1400000US06037104620,210.87062020300507,240.23730297723293,,212.0754848732299,86.04904542462147,,,,
1400000US06037104701,225.3059523809524,155.10504201680672,,165.19684210526316,199.7952144571477,151.3730115194734,85.29088289135167,,
1400000US06037104703,228.3016393442623,,,193.0211956521739,123.62929424211745,,176.13217787114846,inf,
1400000US06037104704,179.93101711983888,190.62961188308577,193.98850574712642,inf,,,245.8283901049087,286.1633366701596,
1400000US06037104821,211.1103678929766,169.08531622801004,,196.06741573033707,93.16713189113747,75.93886526052464,131.43354056171214,,
1400000US06037104822,211.7171413597473,156.29190515126737,,271.90625,,,95.42953055367926,,282.9282393957002
1400000US06037104823,216.26084337349397,230.29910714285714,,133.27485684539303,169.93822131704005,,,,
1400000US06037104824,199.67773005826803,211.29574112913582,,128.33910017379947,293.8726473514841,,,,
1400000US06037106010,203.68499701135684,213.2172869147659,227.37878787878788,189.2692234261591,114.86989691789691,,,,
1400000US06037106020,237.75724617492048,227.30065776141774,,148.87624541164132,258.19162710401383,,,,
1400000US06037106111,233.5561201901901,247.74358974358975,,,,,,,254.8994104642594
1400000US06037106112,254.78316559926807,265.70131541219007,204.27838427947597,199.5293838862559,295.48594568842304,,,,
1400000US06037106113,241.93751950211828,253.49392167641284,223.91510808221136,192.26541708882135,,,,,273.1187836918407
1400000US06037106114,232.79550746140748,224.42845659163987,219.82608695652175,201.68878281622912,164.06807826320022,249.41079545454545,240.35550208479788,,
1400000US06037106403,240.39869646182495,223.31707483641446,,275.2510645305256,,,,,
1400000US06037106405,244.5111280819832,248.47463703862246,216.88916459884203,211.05676274944568,396.43436645396537,196.43945788269517,131.91853401727863,201.72518382352942,303.40826727066815
1400000US06037106406,227.23289087057537,246.5334484525593,267.9697861161784,195.62686579880045,272.26720430107525,,129.0856683907661,,276.0108094519859
1400000US06037106407,,,201.92030848329048,,,,190.14627354627353,197.34638054015437,
1400000US06037106408,312.2616202,,201.9780876494024,128.48162230671736,,36.22644741349777,95.10214680174084,,230.10767663043478
1400000US06037106510,239.868125,240.77049689440994,,249.67097160091146,341.2022425249169,,,,321.41446872645065
1400000US06037106520,226.80227036258756,236.7802359882006,247.28758655532113,160.56180844411818,215.90461419154713,356.01566193853427,,,247.14909478168263
1400000US06037106603,264.41321016210657,258.7826086956522,,29.388537906137184,,,,,
1400000US06037106604,219.43808411214954,198.06433823529412,,173.45769881556683,197.92825016063398,,83.43723098995696,,215.9614967462039
1400000US06037106641,246.7736999785226,260.8936728077249,,135.54830172033525,,,,,
1400000US06037106642,279.7334368530021,274.32827398827396,,,,,,,
1400000US06037106643,257.39469920644785,280.0507582791705,,172.39641783884886,,135.36721926806382,,,
1400000US06037106645,261.0994933210502,282.8617525788766,,,,,,,
1400000US06037106646,256.7255631147365,308.9959319526627,,297.5004849660524,,,,,
1400000US06037106648,219.68698517298188,222.05496987951807,,178.79087617805254,165.16957067069427,,120.37329093380868,,
1400000US06037106649,235.66223020139614,212.52386731391584,,165.3589866156788,117.8698321735571,,,,
1400000US06037107010,225.60466164040668,277.87377439688436,,159.18333333333334,182.2602820211516,56.12113208,,,
1400000US06037107020,232.1225632717173,265.67007874015746,224.18281381634372,175.32080200501252,235.30200959700898,187.3254203758655,189.93301274878354,,218.68934955083637
1400000US06037108101,288.01846532622073,283.0294677668053,,,,,,,
1400000US06037108102,262.2069633,271.82014001077005,285.5776973026973,,,,,,204.65034744156665
1400000US06037108103,275.1805753346625,263.26391382405745,,,,,,,254.1831395348837
1400000US06037108104,243.3819271,277.43586058210565,,,,,,,
1400000US06037108202,438.9011203094074,358.95116805598434,490.68381804623414,,,,146.23641498719624,,356.7067797
1400000US06037108203,259.1558417584446,300.2976243836844,,,,,,,303.0926147
1400000US06037108204,246.28702892199826,234.41187315634218,,,,,,,300.5855282701625
1400000US06037109100,246.08144909082785,228.38423636702896,,3243.7422555663115,,,,,
1400000US06037109200,254.5796420498403,287.9798339264531,276.24361493123774,194.9258876249569,,167.65371024734984,,,
