TRACT_FIPS,GEOID,FIPS,Median_0,Median_1,Median_2,Median_3,Median_4,Median_5,Median_6,Median_7,Median_8
101110,1400000US06037101110,06037101110,559.3703910559465,108.72673283619535,233.97562754485244,247.57305780175247,,,,164.29241274876614,359.4036925572743
101122,1400000US06037101122,06037101122,350.0365326707127,761.872909740452,,,,122.81694899730724,,,343.6474009537718
101220,1400000US06037101220,06037101220,532.4888786436579,656.9581624474689,634.5742769969386,848.1676367417317,,,825.8281459833194,817.663161551979,570.4414394006454
101221,1400000US06037101221,06037101221,340.53719880813685,303.8393618659669,349.5202622791216,252.32457803411683,,,84.15548351797226,235.66809803524555,
101222,1400000US06037101222,06037101222,199.8861276630763,283.6096674951555,321.8694334645123,304.20182733848173,,,137.71446350964166,257.65161850129675,225.16121035276245
101300,1400000US06037101300,06037101300,364.32022242874046,478.79815568451374,415.53194299695707,398.9989065140951,,,,321.7555894375656,310.88152159845947
101400,1400000US06037101400,06037101400,308.9222045964886,551.6024346803716,368.38308580417004,274.16955101522467,534.8870537172514,224.95710573993753,707.5986484153042,291.0032153111805,221.1102241566381
102103,1400000US06037102103,06037102103,553.3469072516768,906.2397013831394,,,,,,,378.3924858217946
102104,1400000US06037102104,06037102104,170.02674916866457,563.44373346834,,,,,,449.9423804962617,303.09783983715914
102105,1400000US06037102105,06037102105,468.9235240367503,699.5930141085078,356.4673554612133,571.6114267747078,,,,,656.6906473456817
102107,1400000US06037102107,06037102107,344.27887924226553,870.0115394270598,874.5238829811531,1083.1344515824562,,149.1015455397744,236.37567189734176,818.2383524004656,70.94549244291962
103101,1400000US06037103101,06037103101,407.98975799711866,,,,,76.97447671717786,,189.7108773616789,559.4967364831874
103102,1400000US06037103102,06037103102,685.414817026769,571.1221143764477,592.1945655488533,525.7513065655636,,,,555.6289084048921,681.5866333629798
103201,1400000US06037103201,06037103201,233.37861441921123,238.70801984207435,259.88743885880405,50.15652086699659,,236.37488664133355,287.5054067580305,40.359358880676666,348.0902961647091
103202,1400000US06037103202,06037103202,300.31625797890047,142.3015402694132,152.39712063765103,,,,289.34317366767067,187.1526151840616,323.2243644509292
103300,1400000US06037103300,06037103300,469.8335373069139,336.9225348940953,651.1250512125724,39.09369201830294,685.7759626050345,,55.812380156473,305.4578179720835,423.28532222954857
103401,1400000US06037103401,06037103401,270.2393403268713,199.00580213874997,279.2623463537162,169.38516480611614,,123.86837277235696,,,273.8607761100842
103402,1400000US06037103402,06037103402,544.5543419899946,389.2772491297041,490.98003013438847,845.6481387621805,,,,457.98098717464626,587.6881169665577
104103,1400000US06037104103,06037104103,777.0146024822606,,,,,,,895.4115323445263,626.6137551410238
104105,1400000US06037104105,06037104105,518.1917917698512,372.8798901828468,419.96849772307314,526.3755378067135,,,,432.48282470612173,526.6437611073916
104108,1400000US06037104108,06037104108,199.2365568854671,225.7908788085739,185.39726920528236,,,,,298.9809825002938,322.4114640969277
104124,1400000US06037104124,06037104124,268.3615218447055,292.92389697151935,436.85858988985854,,,,470.22938882974427,227.43163905243873,133.1535577667942
104201,1400000US06037104201,06037104201,839.0486266908272,894.7398118556616,925.6837221325278,578.3113528558222,,,962.7333122839921,840.5003415246766,
104203,1400000US06037104203,06037104203,374.1704108382783,629.1500204943615,694.4309245063104,530.3393891768726,,,707.0375650714276,658.9472018679302,
104204,1400000US06037104204,06037104204,598.71604273372,260.99774336386565,,247.21874127893227,,,,156.64750720925215,568.5099802443682
104310,1400000US06037104310,06037104310,593.9867013004109,529.4019167432889,539.6164136144772,409.82620379579896,,,,859.4188529166456,1057.05302052225
104321,1400000US06037104321,06037104321,579.8684245607042,485.9100462877824,535.66293528397,390.9193388184703,,,,517.6697218407471,590.9468501344578
104322,1400000US06037104322,06037104322,861.1063341424513,997.4014147228924,909.4016025897221,975.2998029613029,,,,892.2481006284695,967.088511901777
104401,1400000US06037104401,06037104401,388.4749721593885,810.9517939854773,844.3432259545914,829.0591023068569,,,,,337.0338003121958
104403,1400000US06037104403,06037104403,847.678700356993,837.5932566884219,855.8712384472793,929.8387190840963,,,,751.1362516194416,76.21997851201618
104404,1400000US06037104404,06037104404,722.5638128988271,856.6412173925595,872.292886654079,901.4957260745665,,,,835.2803212260733,868.1014297368633
104500,1400000US06037104500,06037104500,781.2756369284128,929.027896009648,927.4881609037878,,,,,1085.1083215922483,354.9518978608595
104610,1400000US06037104610,06037104610,784.2504898718769,786.4511246859348,772.9288647776684,805.7866480738569,,,,,712.3181223244559
104620,1400000US06037104620,06037104620,661.0585910572412,951.5485049940166,1000.3448468148652,,,,,,
104701,1400000US06037104701,06037104701,340.5550155310382,439.58011121476136,432.76340589876185,668.2975581290359,,,,103.01547108840039,401.12144730417526
104703,1400000US06037104703,06037104703,307.28222977953715,554.5713605919734,665.936982986627,518.4388549257503,,,,436.2104733457737,291.95285963550464
104704,1400000US06037104704,06037104704,156.18175307814334,158.13742596652438,379.26895120416066,310.5123948184814,,,,,286.4162326550781
104821,1400000US06037104821,06037104821,676.8801410181837,629.1184805075877,600.0145030632292,,,,,361.37070462039895,961.4544771466906
104822,1400000US06037104822,06037104822,954.2016469017686,692.8454503075079,721.4734037779946,,,,1076.2390023118696,1098.4233498468288,750.1167929916935
104823,1400000US06037104823,06037104823,618.0474612627306,1216.661671218754,,1234.2752279534352,,,,1102.7902481344368,1208.1528113392787
104824,1400000US06037104824,06037104824,690.5437028869304,653.7729976200053,666.6277910615275,1123.676608941505,,,,,683.6856651217362
106010,1400000US06037106010,06037106010,229.85682916821412,,129.77822502367815,,,,,481.7784739216843,484.3568536158775
106020,1400000US06037106020,06037106020,516.7041946625332,,833.0256494569235,,,,,570.9555226376634,876.972130022249
106111,1400000US06037106111,06037106111,299.80166034876015,,,,,,,,105.30671109160416
106112,1400000US06037106112,06037106112,305.2955497927498,549.0905335505316,485.4505198983055,648.9319573678254,,618.1633425229757,,106.4746343073726,362.7739464769166
106113,1400000US06037106113,06037106113,636.0914185818335,956.3431785459028,577.3652024121025,,,,,761.7292810826473,706.2689631251658
106114,1400000US06037106114,06037106114,801.6094040260059,619.9474671582007,322.4052467299851,77.13079690857491,,,672.469625617889,666.8855377200244,937.6876028764851
106403,1400000US06037106403,06037106403,525.6852501492106,699.9267684657102,690.0878087920383,,,,64.52538103711018,163.6563181554177,467.35349563007713
106405,1400000US06037106405,06037106405,724.4369943298346,758.4588535534908,508.41187829591627,853.9803494795877,,,869.2682126106349,827.6136271057904,540.2793615123245
106406,1400000US06037106406,06037106406,638.628992609238,333.1676755840491,81.82576479097241,,,,,605.0860012145955,343.50287135456904
106407,1400000US06037106407,06037106407,626.3259225364569,808.1076595707993,873.9775425365327,,,,,531.5658425806139,
106408,1400000US06037106408,06037106408,560.3956028757904,800.3143331939498,779.5209717643072,,,,,,509.2860909269281
106510,1400000US06037106510,06037106510,571.8080727560348,847.7728523890675,862.5904772635008,881.5419578948074,,,514.7071709364761,,482.68926081234525
106520,1400000US06037106520,06037106520,876.0772084506999,861.4995488614146,809.0310111449512,859.9904280723347,,,,1003.7596839694352,552.5493532182097
106603,1400000US06037106603,06037106603,221.97992264077374,843.3357574516357,,1011.1781537534578,,602.5218764528557,166.45896481961398,,581.1206638074067
106604,1400000US06037106604,06037106604,267.76431219831665,452.5705296255456,487.42435591911874,651.0752398912829,,,,46.15880308796561,273.640182815756
106641,1400000US06037106641,06037106641,514.4416693317909,,,,,,,868.0639620161198,
106642,1400000US06037106642,06037106642,616.8967870772955,,525.228157516887,,,,,141.11083103179172,284.85341472810524
106643,1400000US06037106643,06037106643,632.7160943626832,,,,,,,633.9605578293036,700.8600484692262
106645,1400000US06037106645,06037106645,156.105661186565,,,,,,53.098418623681404,,100.20603039525828
106646,1400000US06037106646,06037106646,396.22162342857763,122.67518584241229,168.88871936216123,,,,422.9141782747754,270.3846213779555,573.7209714831909
106648,1400000US06037106648,06037106648,279.3852134293365,366.19209475233714,384.71479860867765,345.8770763063763,,,254.8541808634577,,261.84984739156477
106649,1400000US06037106649,06037106649,216.48562607279047,612.8403850746224,672.5383507982108,,,,,,626.4163454662053
107010,1400000US06037107010,06037107010,504.5817744724269,476.4652058863451,539.7606843140925,,,,,477.73943271096874,522.9964925273936
107020,1400000US06037107020,06037107020,394.687947110971,477.5163267382901,130.18264942650893,132.91830007134598,,,,199.53853290377802,363.3833821131858
108101,1400000US06037108101,06037108101,236.3870146176555,548.4975786566971,,,,,,,563.0357907995892
108102,1400000US06037108102,06037108102,342.1890850466036,154.7001833641296,181.73815150367835,,,,367.44027642416745,,129.8679829111065
108103,1400000US06037108103,06037108103,152.79181044683423,,,,,,,,14.853707180223088
108104,1400000US06037108104,06037108104,135.95448503105013,266.35939111457316,,,,,,,217.65691960791509
108202,1400000US06037108202,06037108202,482.3899182229063,226.89805608064506,,,,,,,335.1992570763608
108203,1400000US06037108203,06037108203,259.11003182210527,,,,,,,,286.40051405690184
108204,1400000US06037108204,06037108204,283.8942690094351,279.76178740783996,373.84315665598126,,,,45.45473438382361,173.46474471439882,41.331101797665944
109100,1400000US06037109100,06037109100,395.3286415425715,416.91691682896624,230.39230045291487,197.82387464031825,,,791.1107748114478,594.1670819378952,348.2177424117175
109200,1400000US06037109200,06037109200,643.9893592666111,832.8747077199222,738.9205124790798,,,,,797.0900438218252,775.7843406438027
109300,1400000US06037109300,06037109300,735.7715337532854,639.0080400174509,642.6278936689766,,,,,528.1877888607094,546.1169129557312
109400,1400000US06037109400,06037109400,315.73997988630066,175.01615748333901,551.1277204210304,,,,,286.60613102698585,270.50196800647154
109500,1400000US06037109500,06037109500,339.27148680535885,355.22181593601545,344.81636381115135,93.10724893197985,,,,647.2665681672421,102.8794853122261
109601,1400000US06037109601,06037109601,389.24207336834473,85.00628624095985,48.801940329352554,,,,382.52378130374734,187.77359989204714,345.0297336437184
109603,1400000US06037109603,06037109603,1054.1020169263477,1254.9796798219916,1255.3368044411468,,,,,1175.8933575626177,1086.0001618503093
109604,1400000US06037109604,06037109604,723.6806294673645,553.777741643909,503.45729565108,493.958262301352,,,,,620.1533446986307
109700,1400000US06037109700,06037109700,1069.3687273719747,1090.4853163675427,,,,,,1126.0551986930016,724.6317953466086
109800,1400000US06037109800,06037109800,1521.4966720906066,1428.7982016405379,1132.1585105778079,,,,,,1523.648271997246
111100,1400000US06037111100,06037111100,523.3993159888264,789.4705011357978,868.7650126605066,,,,,335.4587315912207,596.4320432299905
111201,1400000US06037111201,06037111201,972.7969133608375,1024.2543962326895,934.9386056139663,,,,,915.5975848814694,894.7535947281789
111202,1400000US06037111202,06037111202,1182.4945566722681,1458.1559945775232,1374.4376062901974,,,,,1037.7134605832262,1090.7130143985876
111204,1400000US06037111204,06037111204,480.2313479889229,,,,,,,622.8112175125414,222.1475397600884
111205,1400000US06037111205,06037111205,155.1677571791081,165.02000893429192,209.03050815821612,,,,159.65327128975485,496.86751498657594,161.49580210652493
111206,1400000US06037111206,06037111206,650.1747109245221,299.24730948312913,256.660639597416,1196.001688048595,,,,488.1866340983743,679.9332425343775
111302,1400000US06037111302,06037111302,1198.4358343759384,837.3672792693329,802.3636769176578,,,,803.5999314634616,1150.0519231057854,1462.4315992615357
111303,1400000US06037111303,06037111303,1138.416407698288,1382.234331338117,1372.376232023156,,,,1551.055752373581,775.7254606173283,1166.906139106326
111304,1400000US06037111304,06037111304,395.5325878142373,864.3779894430766,943.6386270858518,,,,,,682.9001433592377
111401,1400000US06037111401,06037111401,877.8887592574862,704.101487116578,874.6826687717747,1164.0942129434188,,,,1146.4240200613758,808.2285276886455
111402,1400000US06037111402,06037111402,293.6021647001698,388.23223158738756,409.9008970947411,,,,,348.2845746312571,513.8399694694539
113101,1400000US06037113101,06037113101,712.6990997233553,1212.9086921843973,1078.1722370743944,,489.1123336988638,,,719.7392541207582,672.8311494392457
113102,1400000US06037113102,06037113102,272.62257503131644,113.52404072469375,199.48888876555088,,,,,530.1236182763797,344.00821607617013
113211,1400000US06037113211,06037113211,152.40934862419755,,,,,57.24600544825057,,186.29856904889962,100.6879053885011
113212,1400000US06037113212,06037113212,773.2736537351709,990.3739807305323,802.0999527520212,,,,,647.5746255817664,778.485824593431
113213,1400000US06037113213,06037113213,993.9941752138466,907.1012263603188,849.0566331215051,1434.4509577141419,,,,585.9455343248715,407.3206296053136
113231,1400000US06037113231,06037113231,137.49072586355774,127.43765633031393,382.09752579839204,525.724188035349,,99.12055325171694,365.67512325626655,,279.7170306755918
113232,1400000US06037113232,06037113232,290.95545922563304,338.5738729729345,213.53867287564623,,,,,456.4253353125702,664.6682560000843
113234,1400000US06037113234,06037113234,789.576446019874,1150.0122789812049,964.794611273372,734.9755070286692,,,,801.6317786013469,642.8114675944101
113235,1400000US06037113235,06037113235,160.12839138886798,80.55852243082242,74.1850093694881,,,,,94.63030563678002,78.49511319764311
113237,1400000US06037113237,06037113237,379.35144796758664,1050.8235333576317,813.4208941288341,856.5805841090023,,,,,978.6083918054278
113238,1400000US06037113238,06037113238,313.23280545582884,466.97097829084925,318.0085245947746,174.96926726681505,,,,,
113239,1400000US06037113239,06037113239,477.074073351387,482.28172397261824,624.4752560087186,584.3821390110793,,,,402.5581970191058,413.49518465377685
113301,1400000US06037113301,06037113301,1091.4238948204447,1075.4667843547834,1162.1047797195497,1329.6070470170419,,,913.1825193961704,1241.1355129698222,1195.8079603800065
113303,1400000US06037113303,06037113303,1531.7812200884234,1539.5357525516727,1585.9110724672244,1688.135522839746,,,1506.3128810856315,1542.2323979595606,1383.8864862422436
113322,1400000US06037113322,06037113322,764.5515857768457,353.00606003056555,316.7581527947326,,,,,860.3042933833824,694.0488553922871
113323,1400000US06037113323,06037113323,1334.5041099572925,1373.994400530786,1424.6553639267493,1592.482168313625,,,1651.1019215302083,1455.2744629087233,1307.044151019758
113324,1400000US06037113324,06037113324,621.4078207419326,1281.336065637994,815.92429130777,,,,,,861.5216164611884
113423,1400000US06037113423,06037113423,393.5113382260888,171.79193464929526,112.29569754323585,,,,,237.1101277924469,296.23707511792765
113424,1400000US06037113424,06037113424,935.4934805444736,1065.320379803486,786.1782263418102,954.9167951358642,,,,851.8880487890397,1181.9962399152041
113425,1400000US06037113425,06037113425,726.4672874334922,1023.2012955173816,1113.2634782110938,962.1827029619152,,,1020.1969668946269,,667.6737383774454
113426,1400000US06037113426,06037113426,756.7897120554856,1235.4021868710306,1343.4746830294714,1239.3371077732527,,,1102.3161539908415,1399.5767658180257,1545.9038998172134
113427,1400000US06037113427,06037113427,855.0311860918414,,,,,,,,814.4936342493083
113428,1400000US06037113428,06037113428,657.3896064115253,649.0814180038681,94.56425209336003,,,,,1031.0193053355956,568.7547052852202
115101,1400000US06037115101,06037115101,681.4664911096348,1174.977534810173,1272.0361375724367,,,,,735.6050233326964,161.4880729435641
115103,1400000US06037115103,06037115103,,,,,,,,,1136.7287079731905
115104,1400000US06037115104,06037115104,1236.1825154803782,,1653.4916571828414,,,,1200.088487785755,1245.0019888855643,
115202,1400000US06037115202,06037115202,812.660371094317,903.9769887842683,965.2669515801011,785.3076782762173,,,,1021.2877324225647,360.72500552934486
115203,1400000US06037115203,06037115203,771.5080009275425,1140.463602268809,992.6058362617201,,,,,571.5979351827684,
115204,1400000US06037115204,06037115204,785.6244199913053,1104.7419173962123,1114.447970800633,,,,,970.0482591019748,909.2415882847495
115301,1400000US06037115301,06037115301,801.572091711222,319.8744174071586,408.29931649868536,,,,,,877.6546018610761
115302,1400000US06037115302,06037115302,873.4955973313113,352.39041559002624,328.1014365855866,291.2695144565102,,,290.8284075395921,957.716547530167,629.6668905710496
115401,1400000US06037115401,06037115401,1506.3977087095636,1632.071223673338,1610.571477917531,,,,,1703.7079604385945,1421.5627250679731
115403,1400000US06037115403,06037115403,1543.977638387491,1228.8796069484551,1346.0124261144806,1237.6555886248095,,,1394.3636437000218,1502.483126904851,1350.7696535221164
115404,1400000US06037115404,06037115404,889.9609064307883,1085.7159468314037,919.8491875756575,596.4444792191634,,,,609.0859500229202,546.4438963971706
117101,1400000US06037117101,06037117101,684.2724599866516,625.2064680290301,544.8046804549098,,,,,892.4333374136656,807.8316284707214
117102,1400000US06037117102,06037117102,1218.5196101863714,1367.744841844344,1340.7922437838606,704.0889574488355,,,,1123.6619608650562,827.3983557586444
117201,1400000US06037117201,06037117201,1458.7030400913916,808.7334562893683,1362.4798523185118,,,,,1434.1858182677636,1746.377948830716
117202,1400000US06037117202,06037117202,1604.21855101148,1695.2343057894388,869.7660966168224,,,,,1155.6564732738696,1744.864094071621
117301,1400000US06037117301,06037117301,1663.926552013516,1577.9458068182305,1770.2308348934193,,,,,1530.7937070581957,1236.1294449927354
117302,1400000US06037117302,06037117302,1033.7929108714113,1033.1619290345525,980.9737486543787,1675.4306078621453,,,1028.495302254863,678.9537167513312,1295.1762389414782
117303,1400000US06037117303,06037117303,1671.8656839353964,1771.8322926798978,1718.5108041647027,1814.26973775213,,,,1437.315731666785,1810.4495096716882
117404,1400000US06037117404,06037117404,1318.0684169796368,1644.2655594374357,1131.8657298260264,1373.2546152159796,,,,861.6408599377747,1161.9125729471898
117405,1400000US06037117405,06037117405,512.2710856106634,306.4653491779093,325.9303376819636,,,,,399.2744684848124,445.2575868941772
117407,1400000US06037117407,06037117407,401.7080469274575,214.3750166868647,159.21888114041252,,,,138.1507147363451,,346.28167073059166
117408,1400000US06037117408,06037117408,604.8241920889875,414.0436909933947,778.782575614492,751.9009468041762,,,,,685.5563840204586
117510,1400000US06037117510,06037117510,376.82546680122823,374.41295788045073,250.30288035093946,135.62458572840484,,,,484.6579501644834,187.42224023030442
117520,1400000US06037117520,06037117520,277.34723941009935,101.5479545427026,58.32855962220676,,,,193.41274818984257,48.77606274352969,9.601219274805835
117530,1400000US06037117530,06037117530,484.31127990653556,552.8997180423117,605.8159847917883,443.8573922698209,,,,,400.7831080110873
119001,1400000US06037119001,06037119001,393.5981071627626,,,,,,,,378.14448586733283
119003,1400000US06037119003,06037119003,1108.8528897312056,635.6132568500136,675.0631214868936,,,,,1462.8849615891384,1282.1384342840504
119004,1400000US06037119004,06037119004,899.0657197624845,944.5346652075002,965.8929537508086,1099.9904416392517,,,,685.3512200054142,1046.3547117488752
119201,1400000US06037119201,06037119201,1117.2140722113368,953.6302142325832,,,,,,975.105614466159,1133.9829657350476
119202,1400000US06037119202,06037119202,433.55030850253013,606.812166530993,540.116254543633,,,,,627.2307655075687,353.9462172400632
