TRACT_FIPS,GEOID,FIPS,MedinaSqFtVal_0100,MedinaSqFtVal_0101,MedinaSqFtVal_010C,MedinaSqFtVal_0200,MedinaSqFtVal_0300,MedinaSqFtVal_0400,MedinaSqFtVal_0500,MedinaSqFtVal_010E,MedinaSqFtVal_010D
101110,1400000US06037101110,06037101110,217.91777065890682,171.84131151415633,187.10163805019084,145.71762984637894,121.01315075797177,150.26749509483324,28.481484211115934,,
101122,1400000US06037101122,06037101122,173.69103448275862,141.77583065126845,,143.24198861515492,121.73805460750853,,182.87763334827432,,
101220,1400000US06037101220,06037101220,197.4303586321935,118.43101394058185,131.80857518386637,172.06477732793522,126.05781838892952,88.75060273238682,74.75588235294117,,
101221,1400000US06037101221,06037101221,214.5142375792812,414.1255320956059,173.408069426888,138.91099965409893,116.47588235294117,121.04900568181819,79.31810533051026,80.7989417989418,
101222,1400000US06037101222,06037101222,206.0005644682115,,127.44353874883288,142.90672727272727,138.13652803254473,192.77243032109916,58.76080685618729,238.9034090909091,182.97610096670246
101300,1400000US06037101300,06037101300,187.05736072322998,170.24852071005918,223.31221951357495,107.75761772853186,55.29608524387005,,,,
101400,1400000US06037101400,06037101400,190.2896551724138,146.4837162597801,219.0475935828877,140.95011330517684,128.5834326579261,80.90950636146762,33.911425265753635,,
102103,1400000US06037102103,06037102103,190.2991990846682,191.68035120224516,105.24529914529914,,,,37.84817986224424,,
102104,1400000US06037102104,06037102104,161.6164325244785,168.41677719075022,203.921875,,,,,,
102105,1400000US06037102105,06037102105,139.44953416149067,131.58931185944363,,102.34495192307693,204.72756756756758,74.43346817292355,44.88613462313583,,
102107,1400000US06037102107,06037102107,187.06915043748236,159.7120733249052,162.23821339950373,143.40345927379784,68.9546173296466,,30.565714813352272,,
103101,1400000US06037103101,06037103101,188.0019532524118,163.8228432624449,123.228880866426,262.2218100890208,,,,,
103102,1400000US06037103102,06037103102,207.4503712281042,169.045268250472,162.6711012564671,111.37277964474316,227.35374493927125,274.78454773869345,48.62854384954306,,
103201,1400000US06037103201,06037103201,187.9161750821018,171.83806228373703,,217.77777777777777,67.7788233704689,44.116513052368276,27.473329468038845,,
103202,1400000US06037103202,06037103202,145.5819070314912,160.00817160367723,,144.05471701796387,130.5858348968105,,,,
103300,1400000US06037103300,06037103300,183.53175675675675,171.3143299821007,,162.28698136597575,112.31198347107438,195.88656241798034,323.71049983227107,,123.56776292013011
103401,1400000US06037103401,06037103401,197.0885947046843,161.8418770424022,158.31652443754848,252.02370370370372,88.3332668329177,161.7207843137255,168.6653206396748,,
103402,1400000US06037103402,06037103402,197.75109170305677,120.53908410050741,211.03091140854048,88.46370683579985,123.96190130624093,174.96296296296296,49.62810347068764,,
104103,1400000US06037104103,06037104103,118.51725589225589,104.70351607522458,,,,,,,106.05982905982906
104105,1400000US06037104105,06037104105,82.53111587982832,176.23838537699925,67.06096361848574,83.75744265495364,,,148.80850695505183,,80.90984126984127
104108,1400000US06037104108,06037104108,115.39123102866779,136.59274624599124,44.509972536340115,42.99001833255808,30.354311199207135,,25.837577200961583,129.3170731707317,
104124,1400000US06037104124,06037104124,139.9837932674334,142.24875,125.80359646182613,86.53000337533754,61.576894491588014,,,,
104201,1400000US06037104201,06037104201,107.81262776487056,132.58112896945127,,104.64234745837015,,,104.79133409350057,,
104203,1400000US06037104203,06037104203,120.02540650406505,160.0582338902148,95.09768637532133,147.8535735022888,85.24110349246831,,49.804954788070205,130.37810383747177,
104204,1400000US06037104204,06037104204,120.54988358731102,144.71908787669656,,,,,190.74824093619227,,105.63303533418475
104310,1400000US06037104310,06037104310,120.12934828319644,95.65170068027211,,79.32224890199939,36.94387755102041,,,,
104321,1400000US06037104321,06037104321,124.28708791208791,6.221445892817638,,112.1758691206544,34.17212301587302,55.94305616666102,90.71021174863388,,
104322,1400000US06037104322,06037104322,133.1938323566275,104.84399005164843,,50.33399211544872,,41.23053278688525,81.63632449932703,,
104401,1400000US06037104401,06037104401,96.95359695114287,127.80117878980636,,107.32969852469532,85.02958579881657,,196.28295234858754,,
104403,1400000US06037104403,06037104403,97.17935769301302,54.88215922959937,,78.33960995292536,141.52230046948358,,75.25665180828088,,
104404,1400000US06037104404,06037104404,98.60596546310832,88.5243553008596,,90.2345026576394,62.925103724192425,99.50192604006163,150.1645481734672,,
104500,1400000US06037104500,06037104500,105.31362275449102,68.01976935749587,,55.55088495575221,137.99664561223224,73.75043152207833,22.362142857142857,,
104610,1400000US06037104610,06037104610,113.04034377510041,66.48181276088253,,112.44444444444444,71.44021164021164,93.7912641747165,30.821945316087994,,
104620,1400000US06037104620,06037104620,106.41661788477768,111.31067961165049,,127.78149780994096,35.49605003291639,,,,
104701,1400000US06037104701,06037104701,141.78013698630136,74.9951980792317,,81.5403834979663,105.39979160008522,37.84009873834339,22.489490739863285,,
104703,1400000US06037104703,06037104703,152.3406862745098,,,92.17301587301587,96.72478634817267,,51.80348389355742,inf,
104704,1400000US06037104704,06037104704,107.60197368421052,98.80450407283182,66.0451923076923,inf,,,30.80145185787579,131.89219712525667,
104821,1400000US06037104821,06037104821,115.70808510638298,80.32550442824072,,103.07752808988764,42.834263782274945,25.93174720226313,44.65898896997222,,
104822,1400000US06037104822,06037104822,101.41643947069478,57.94701429772918,,163.14411764705883,,,17.279183135704876,,138.60886258563062
104823,1400000US06037104823,06037104823,106.5720844811754,104.03163771712158,,72.32794909446892,142.90325865580448,,,,
104824,1400000US06037104824,06037104824,98.55057967032967,97.29002001731375,,70.19314132857541,147.92240758775458,,,,
106010,1400000US06037106010,06037106010,92.3438961038961,91.95205479452055,67.04226475279107,74.9753487863598,83.9780865060865,,,,
106020,1400000US06037106020,06037106020,117.31382049214793,106.51510593175837,,76.44870041039671,152.53776435045316,,,,
106111,1400000US06037106111,06037106111,118.54066079873245,114.11327831957989,,,,,,,116.36440677966101
106112,1400000US06037106112,06037106112,137.80997798972854,124.02205708893607,77.92408985282727,119.71895734597156,178.56741305383517,,,,
106113,1400000US06037106113,06037106113,115.89403453689168,118.0121874615229,88.54682500450977,115.44465859199903,,,,,95.33623400203712
106114,1400000US06037106114,06037106114,124.1070886230967,105.1927797833935,86.60720130932897,115.25155131264917,88.81823237737872,149.64659090909092,95.40883791690408,,
106403,1400000US06037106403,06037106403,125.09768462265424,103.63459011253259,,152.30734679688362,,,,,
106405,1400000US06037106405,06037106405,134.8159558830605,131.79633013156598,80.66147308781869,124.95337301587301,238.17046490428442,80.25592638140674,83.26314008572074,96.04319852941177,170.78510758776895
106406,1400000US06037106406,06037106406,112.0390963706181,121.96251357846913,85.14268114495081,109.08014101861994,174.20322580645163,,32.604618645064434,,146.078431372549
106407,1400000US06037106407,06037106407,,,62.97071742313324,,,,35.30620543672014,79.04123564918925,
106408,1400000US06037106408,06037106408,123.45219123505976,,71.50283196979233,91.77629911280101,,8.70777663583419,33.20600695117767,,105.1946331521739
106510,1400000US06037106510,06037106510,108.39891846921797,99.32271293375395,,178.52815315315314,197.984219269103,,,,203.06857573474002
106520,1400000US06037106520,06037106520,115.76829336644505,118.67059980334317,93.16666666666666,75.80958957029078,129.28848390849166,214.26891252955082,,,101.56335877862595
106603,1400000US06037106603,06037106603,141.8855037198324,127.45011286681715,,16.761281588447652,,,,,
106604,1400000US06037106604,06037106604,104.82092004381161,77.61347150259067,,77.05416051206302,119.3041958041958,,14.288350757414124,,111.191431670282
106641,1400000US06037106641,06037106641,127.94230290945785,134.5296999747087,,22.076312307013673,,,,,
106642,1400000US06037106642,06037106642,163.739613427913,146.2830057608715,,,,,,,
106643,1400000US06037106643,06037106643,123.75875584831243,131.33651344319168,,112.23299937960253,,54.471692211448236,,,
106645,1400000US06037106645,06037106645,145.89228598306678,152.12798627318125,,,,,,,
106646,1400000US06037106646,06037106646,160.5272913126189,178.8519993986771,,167.14888457807953,,,,,
106648,1400000US06037106648,06037106648,106.07970479704797,109.14957544088831,,80.16748619826936,73.60905009472425,,43.2972508762695,,
106649,1400000US06037106649,06037106649,102.85136233132641,82.0354740061162,,120.1718989280245,47.146950470732705,,,,
107010,1400000US06037107010,06037107010,119.89400836480088,147.04304449818403,,79.69885057471264,145.81316098707404,15.406415094339623,,,
107020,1400000US06037107020,06037107020,124.96798207399868,130.21961805555554,84.4860031104199,97.37553719008264,141.1813030975954,96.88632619439868,67.07000806418867,,89.48722789899128
108101,1400000US06037108101,06037108101,182.11111111111111,164.99790052993495,,,,,,,
108102,1400000US06037108102,06037108102,146.3925157884355,150.3576113220573,111.57204973792228,,,,,,99.94567277321542
108103,1400000US06037108103,06037108103,147.51723155796068,140.520197486535,,,,,,,109.71756291382809
108104,1400000US06037108104,06037108104,145.2216748768473,169.5752733389403,,,,,,,
108202,1400000US06037108202,06037108202,207.27792898541117,123.76598174336249,158.10029940119762,,,,1.6598181195123054,,159.6160960625213
108203,1400000US06037108203,06037108203,100.28050450775115,151.48363962348722,,,,,,,174.89895256493423
108204,1400000US06037108204,06037108204,142.3584574934268,116.34328908554572,,,,,,,150.96888245065702
109100,1400000US06037109100,06037109100,131.55082980124865,119.82681646401576,,3036.00266214908,,,,,
109200,1400000US06037109200,06037109200,153.67538208917517,160.3890052356021,116.6143232588699,106.7166494312306,,109.3406949352179,,,
109300,1400000US06037109300,06037109300,151.42439204939205,153.42206012378426,83.18570923240183,,,,,,
109400,1400000US06037109400,06037109400,115.79616415065176,130.5851305334847,73.88382099827884,79.24179603277275,43.18698060534314,50.67722289890378,160.31711465791176,,97.62023460410558
109500,1400000US06037109500,06037109500,93.60536611905891,75.76107594936708,54.395267180583545,58.96124031007752,61.117501034340094,15.093406593406593,180.41618497109826,,
109601,1400000US06037109601,06037109601,116.67060212514758,133.3146921677071,,166.7119760479042,38.7330815234498,,,,
109603,1400000US06037109603,06037109603,124.90829502407705,119.49534495040824,115.69181890389198,78.83337152801204,,,77.42810980291785,,
109604,1400000US06037109604,06037109604,115.57714701601165,137.48029038409743,82.5875810936052,122.57087378640777,70.31495438318127,,45.95821401292144,,
109700,1400000US06037109700,06037109700,161.6664232783903,131.58106267029973,110.65946324614637,158.37778563848602,,,,125.17509875424395,
109800,1400000US06037109800,06037109800,156.97474033075116,158.64187866927594,113.27504248620622,184.88023450586266,221.08015873015873,,9.032691092861656,,
111100,1400000US06037111100,06037111100,162.34513274336283,156.51022727272726,,,,,,,
111201,1400000US06037111201,06037111201,153.4968765016819,153.21046931407943,73.48684119379914,,,,,,
111202,1400000US06037111202,06037111202,166.00175846645368,163.59767711962834,115.16318116777296,120.03433687363835,47.87061767207339,66.86353211009174,42.04832485213086,106.53396430704899,
111204,1400000US06037111204,06037111204,126.91750951651042,138.53261225827598,,,,,,,inf
111205,1400000US06037111205,06037111205,140.8024429102496,160.505220154335,108.82550295361682,79.39975845410628,87.01825554316109,,,99.09457500587308,
111206,1400000US06037111206,06037111206,145.0335380255078,168.9761684582686,,,,,,,
111302,1400000US06037111302,06037111302,157.85293494591014,152.41336302895323,119.2374558303887,41.47597102904976,,,43.97014159655243,,
111303,1400000US06037111303,06037111303,159.5125723481437,165.52231088333397,117.01423769435743,123.90903832602568,73.02024328603267,139.5596264367816,66.89782409445847,,
111304,1400000US06037111304,06037111304,,,102.61292402921913,,,,82.9614841301373,,
111401,1400000US06037111401,06037111401,143.67295980511574,139.31882352941176,,,145.83534899792676,,106.15067508188864,,
111402,1400000US06037111402,06037111402,133.97581253141908,143.29222466849194,105.83297555023275,,,,36.23026469435981,,
113101,1400000US06037113101,06037113101,153.25519574673754,150.867319341312,,111.40878257123617,,,,,238.21155343905536
113102,1400000US06037113102,06037113102,155.85830102220655,130.93437512610228,,,,,,,141.03950280946705
113211,1400000US06037113211,06037113211,127.75755995828989,125.81100569259962,129.1374501992032,421.1467391304348,,,,,
113212,1400000US06037113212,06037113212,155.66579996245258,138.37556561085972,97.76340486568938,109.9182649062995,,,62.38484427692918,,
113213,1400000US06037113213,06037113213,162.49964508593402,151.25806451612902,117.03270749962059,67.18232730225796,,46.48866421568628,81.75363933576477,138.8092883307169,
113231,1400000US06037113231,06037113231,153.31490010205715,150.53507109004738,,23.318021201413426,,,13.995017705487083,,158.67255585545058
113232,1400000US06037113232,06037113232,175.88031265266244,162.92998065843693,,235.73467741935485,,,,,
113234,1400000US06037113234,06037113234,134.41132242370634,160.5916707127418,95.37520893971406,32.302338847689676,,260.4166666666667,54.513700787945,27.346031746031745,
113235,1400000US06037113235,06037113235,146.1148338220919,143.55758415384463,,106.6927380952381,,,,,
113237,1400000US06037113237,06037113237,132.1375,134.53536109289712,107.01788908765653,174.29630917115048,,,36.12829356553206,,
