TRACTCE,GEOID,FIPS,POPULATION,MEDIAN_NDVI_2019,MEDIAN_NDVI_2020,MEDIAN_NDVI_2021,MEDIAN_NDVI_2022,MEDIAN_NDVI_2023,MEDIAN_NDVI_2024,MEAN_NDVI_2019,MEAN_NDVI_2020,MEAN_NDVI_2021,MEAN_NDVI_2022,MEAN_NDVI_2023,MEAN_NDVI_2024
227010,1400000US06037227010,6037227010,4419,0.1114043929,0.09548270642,0.1035615451,0.11512971,0.1148974105,0.1197782503,0.1356165255,0.1180778358,0.1290201218,0.1369337811,0.1354703058,0.1467637559
603703,1400000US06037603703,6037603703,2534,0.2829024331,0.2747801183,0.2521773794,0.2682425933,0.2758060535,0.282950529,0.2784495733,0.2755691416,0.2591546232,0.2748083907,0.2801037369,0.2648253842
185202,1400000US06037185202,6037185202,3627,0.5444655581,0.5096876239,0.4398478875,0.4787294674,0.5066459775,0.5368793726,0.5104500781,0.479008879,0.4283588364,0.4562959572,0.4379485195,0.4956109429
310501,1400000US06037310501,6037310501,3730,0.0765801252,0.07601116392,0.07636792571,0.08410356855,0.08380935966,0.084050167,0.1264958615,0.1217148203,0.1256767521,0.1346527008,0.1276675073,0.1365378366
532101,1400000US06037532101,6037532101,6830,0.1757111925,0.1855564711,0.1661221487,0.1696853414,0.1757226798,0.1763047818,0.204672591,0.2098887918,0.1990724237,0.1883293565,0.189149924,0.2047891785
127104,1400000US06037127104,6037127104,4085,0.2171849104,0.2164681554,0.2050703814,0.2133221444,0.2050197479,0.2237785209,0.217666788,0.2110691194,0.2068730146,0.2134680329,0.2120627309,0.230918299
530007,1400000US06037530007,6037530007,6570,0.3535032752,0.306599139,0.2753045408,0.283128162,0.2870844006,0.3181321397,0.3802549496,0.3432210554,0.2983115907,0.3083396143,0.3132536502,0.3341669381
191204,1400000US06037191204,6037191204,1835,0.1741967746,0.1736520578,0.1622006151,0.1649221207,0.1616759896,0.1650714129,0.1911803047,0.180973953,0.1781416749,0.1840789197,0.1842694342,0.1902639499
192610,1400000US06037192610,6037192610,4058,0.1580970645,0.1535691172,0.1424935132,0.1508408489,0.1470099927,0.1464726236,0.187941132,0.1774006513,0.1687173676,0.1738037147,0.1755796233,0.1793916942
920121,1400000US06037920121,6037920121,10454,0.2714519133,0.2752596361,0.208947106,0.2480490845,0.2830712824,0.3025964906,0.2985680207,0.2889713369,0.2186317154,0.2512960198,0.3252025613,0.3244718932
910213,1400000US06037910213,6037910213,1265,0.3789451801,0.3398063193,0.2695349858,0.2461003663,0.3710721678,0.394616142,0.3455651653,0.3198041198,0.2523126226,0.2439725003,0.3403130173,0.3549938207
463000,1400000US06037463000,6037463000,2495,0.2989888027,0.302118043,0.2907909392,0.299014122,0.2833733888,0.2990673887,0.2976742745,0.2921799901,0.2930940167,0.2953887528,0.2702190785,0.2945978534
240500,1400000US06037240500,6037240500,6420,0.1893674664,0.1854636221,0.1743055329,0.177796362,0.1856878364,0.1862211685,0.2057499281,0.1959155627,0.1861552341,0.1885188875,0.2073382073,0.1925369286
400206,1400000US06037400206,6037400206,5208,0.3223808748,0.3261669036,0.3182782664,0.3068226901,0.2991013639,0.3220024723,0.3456706493,0.3434642011,0.3390137307,0.3285043762,0.3225308865,0.3439190992
291110,1400000US06037291110,6037291110,4161,0.2518422747,0.2286277749,0.2089644382,0.2209763944,0.2440254584,0.2518381481,0.2597801803,0.2242009769,0.2227755293,0.2358497979,0.2564144845,0.2588798756
481403,1400000US06037481403,6037481403,2892,0.2204002092,0.2085764986,0.2050903267,0.2085949828,0.2045563299,0.2165638864,0.2337303622,0.2095889119,0.2230078983,0.2251550142,0.2089903403,0.2333638358
602104,1400000US06037602104,6037602104,5585,0.1584378098,0.1585997051,0.146374633,0.1503539269,0.1538980752,0.1549524963,0.1663548379,0.1658993482,0.1592490046,0.1585330509,0.1703541244,0.1632769766
132002,1400000US06037132002,6037132002,3180,0.3144611505,0.3185170498,0.2908912288,0.3103585103,0.2869435651,0.3144910297,0.3249054977,0.3263072245,0.311259923,0.3287845323,0.2917318311,0.3188212381
189400,1400000US06037189400,6037189400,3567,0.4903684802,0.4903509953,0.4472386015,0.4671341345,0.4664549813,0.5216452445,0.4809419231,0.4732839125,0.4432259062,0.4621191893,0.4656943592,0.5036764837
113237,1400000US06037113237,6037113237,3882,0.3183223351,0.3374887598,0.279278883,0.3027559608,0.3104466753,0.3144147115,0.331871584,0.3301030763,0.2688110141,0.2925823753,0.3471051368,0.331696448
910218,1400000US06037910218,6037910218,4466,0.2167505435,0.2010648295,0.146496264,0.1582117187,0.2537528942,0.2773500655,0.2220432525,0.2208987571,0.1504861704,0.1632881086,0.2701383213,0.2581664639
271500,1400000US06037271500,6037271500,2936,0.3456186224,0.349100635,0.3142947125,0.3342867897,0.3344162819,0.3616177579,0.3572599247,0.3579923327,0.3321582682,0.3461945336,0.3259853749,0.3670144423
570304,1400000US06037570304,6037570304,4839,0.1856306419,0.1819342252,0.1776101932,0.1780510942,0.1736618975,0.1813956546,0.2057763095,0.2009629324,0.197395681,0.1976539166,0.2035192167,0.1978864691
191902,1400000US06037191902,6037191902,3077,0.2668706627,0.2518567102,0.2558773778,0.2639905873,0.2446309663,0.2602490782,0.2595236916,0.249858693,0.2510522288,0.2666099201,0.2335368243,0.2345945231
404901,1400000US06037404901,6037404901,5091,0.2207590779,0.2207290957,0.2128355821,0.2127068634,0.209175767,0.2281457485,0.2277720909,0.227296577,0.2214120659,0.2249611217,0.216508486,0.2371553409
109604,1400000US06037109604,6037109604,2893,0.2637125918,0.2675730307,0.236085172,0.2521237135,0.2598300629,0.2635055093,0.2630676693,0.2665949705,0.2398705012,0.2513054601,0.2591503875,0.2620135926
800328,1400000US06037800328,6037800328,1372,0.6267421866,0.5371527338,0.3535925423,0.5020609027,0.6464981164,0.5663907883,0.5410040521,0.5015187842,0.3423643238,0.4616334013,0.5047243112,0.5040972204
432801,1400000US06037432801,6037432801,2360,0.1384740385,0.1380746407,0.142910671,0.13844669,0.1229270967,0.1001399164,0.19476576,0.1770005824,0.1760059969,0.1684871842,0.1515447693,0.1368858863
542200,1400000US06037542200,6037542200,6889,0.2477172496,0.239778059,0.2284809505,0.2323158744,0.2363253242,0.2438722744,0.2586324451,0.2450122516,0.2430269258,0.2475340992,0.2509041784,0.2521572824
231902,1400000US06037231902,6037231902,3120,0.1463232498,0.1260978835,0.1299557356,0.1455549945,0.1423535485,0.1423573021,0.1674524477,0.1342098822,0.148347917,0.1626864302,0.1584986536,0.157800042
194402,1400000US06037194402,6037194402,3252,0.2169993724,0.2097189436,0.2087864444,0.2040084502,0.1928670815,0.2010488739,0.2311661982,0.2233626184,0.2236505315,0.2336496593,0.2114836059,0.2131677406
430003,1400000US06037430003,6037430003,4489,0.5645657876,0.5724154087,0.4862339302,0.5487858663,0.6152359621,0.6621463304,0.5466114926,0.559453429,0.4850568769,0.5427114313,0.5440550073,0.6226812333
552302,1400000US06037552302,6037552302,3358,0.1932113525,0.201454613,0.1935023037,0.1937768431,0.2009815419,0.2085929662,0.2148142696,0.216993444,0.2144030156,0.2155678583,0.2203923871,0.2226888713
700502,1400000US06037700502,6037700502,4428,0.1503070988,0.1506207135,0.1463407886,0.1499376139,0.1343358863,0.1426859606,0.2048462989,0.1982534763,0.1922187843,0.1999011246,0.169159057,0.1844144639
134201,1400000US06037134201,6037134201,4235,0.2476724144,0.251002097,0.2285734557,0.2479362243,0.2284815665,0.2402178166,0.2396259639,0.2425143769,0.2246961857,0.2443858259,0.230789387,0.2187315939
